Image,Class (Location),Query,Answer,Generated Reply
235,Children Room,Is this a Restaurant Kitchen?,no,
236,Train Station,Is this a Bus?,no,
237,Movie Theatre,Is this a Auditorium?,no,
238,Concert Hall,Is this a Movie Theatre?,no,
239,Cloister,Is this a Cloister?,yes,
240,Pool,Is this a Pool?,yes,
241,TV Studio,Is this a TV Studio?,yes,
242,Music Studio,Is this a Bowling Alley?,no,
243,Waiting Room,Is this a Operating Room?,no,
244,Living Room,Is this a Waiting Room?,no,
245,Classroom,Is this a Classroom?,yes,
246,Casino,Is this a Game Room?,no,
247,Jewellery Store,Is this a Jewellery Store?,yes,
248,Bus,Is this a Bus?,yes,
249,Restaurant,Is this a Kitchen?,no,
250,Operating Room,Is this a Operating Room?,yes,
251,Movie Theatre,Is this a Florist?,no,
252,Kitchen,Is this a Pantry?,no,
253,Video Store,Is this a Video Store?,yes,
254,Toy Store,Is this a Clothing Store?,no,
255,Classroom,Is this a Classroom?,yes,
256,Buffet,Is this a Kitchen?,no,
257,Staircase,Is this a Staircase?,yes,
258,Laundromat,Is this a Dining Room?,no,
259,Art Studio,Is this a TV Studio?,no,
260,Pantry,Is this a Pantry?,yes,
261,Airport,Is this a Deli?,no,
262,Auditorium,Is this a Classroom?,no,
263,Clothing Store,Is this a Clothing Store?,yes,
264,Dental Office,Is this a Dental Office?,yes,
265,Game Room,Is this a Bowling Alley?,no,
266,Nursery,Is this a Nursery?,yes,
267,Library,Is this a Library?,yes,
268,Mall,Is this a Mall?,yes,
269,Wine Cellar,Is this a Warehouse?,no,
270,Corridor,Is this a Cloister?,no,
271,Laboratory,Is this a Classroom?,no,
272,Warehouse,Is this a Warehouse?,yes,
273,Kindergarten,Is this a Classroom?,no,
274,Dining Room,Is this a Dining Room?,yes,
275,Children Room,Is this a Children Room?,yes,
276,Office,Is this a Dining Room?,no,
277,Grocery Store,Is this a Restaurant Kitchen?,no,
278,Book Store,Is this a Library?,no,
279,Florist,Is this a Game Room?,no,
280,Train Station,Is this a Train Station?,yes,
281,Subway,Is this a Subway?,yes,
282,Deli,Is this a Train?,no,
283,Shoe Shop,Is this a Library?,no,
284,Locker Room,Is this a Locker Room?,yes,
285,Deli,Is this a Deli?,yes,
286,Cloister,Is this a Cloister?,yes,
287,Art Studio,Is this a Art Studio?,yes,
288,Bowling Alley,Is this a Garage?,no,
289,Staircase,Is this a Staircase?,yes,
290,Computer Room,Is this a Computer Room?,yes,
291,TV Studio,Is this a Office?,no,
292,Toy Store,Is this a Toy Store?,yes,
293,Kindergarten,Is this a Dining Room?,no,
294,Garage,Is this a Garage?,yes,
295,Closet,Is this a Bedroom?,no,
296,Fast Food Restaurant,Is this a Prison Cell?,no,
297,Restaurant Kitchen,Is this a Concert Hall?,no,
298,Pantry,Is this a Pantry?,yes,
299,Nursery,Is this a Nursery?,yes,
300,Bus,Is this a Bus?,yes,
